Order Number ,Order Date,SKU ID,Warehouse ID,Customer Type,Order Quantity,Unit Sale Price,Revenue,,,,,
SO - 019918,24-Jan-21,1163CA,AXW291,Wholesale,40,94.66425,3787,,,,,
SO - 019919,24-Jan-21,1479CA,GUT930,Wholesale,15,385.5625,5783,,,,,
SO - 019920,24-Jan-21,2013AA,AXW291,Wholesale,307.5,143.8402,44231,,,,,
SO - 019921,24-Jan-21,2173CA,FLR025,Distributor,60,444.94,26696,,,,,
SO - 019922,24-Jan-21,3345AA,FLR025,Distributor,5,31.06467,155,,,,,
SO - 019923,24-Jan-21,2508BA,AXW291,Export,2,463.1,926,,,,,
SO - 019924,24-Jan-21,2673BA,AXW291,Export,726,13,9438,,,,,
SO - 019925,24-Jan-21,2513CA,AXW291,Distributor,1,4805.03,4805,,,,,
SO - 019926,24-Jan-21,1956CA,GUT930,Wholesale,2,1250,2500,,,,,
SO - 019927,24-Jan-21,2501CA,GUT930,Export,45,35.12175,1580,,,,,
SO - 019928,24-Jan-21,3053AA,GUT930,Distributor,3,40.87148,123,,,,,
SO - 019929,25-Jan-21,3404CA,AXW291,Wholesale,10,396.54,3965,,,,,
SO - 019930,25-Jan-21,2025AA,AXW291,Distributor,3,442.805,1328,,,,,
SO - 019931,25-Jan-21,1499CA,GUT930,Wholesale,6,6600,39600,,,,,
SO - 019932,25-Jan-21,2923CA,NXH382,Distributor,3,20.18857,61,,,,,
SO - 019933,25-Jan-21,1956CA,AXW291,Wholesale,1,1250,1250,,,,,
SO - 019934,25-Jan-21,3619CA,NXH382,Export,5250,0.7455,3914,,,,,
SO - 019935,25-Jan-21,1499AA,NXH382,Wholesale,180,14.22359,2560,,,,,
SO - 019936,25-Jan-21,2513CA,NXH382,Wholesale,2,4805.03,9610,,,,,
SO - 019937,25-Jan-21,2337CA,AXW291,Export,991,1.72706,1712,,,,,
SO - 019938,25-Jan-21,2935BA,NXH382,Export,12,23.495,282,,,,,
SO - 019939,25-Jan-21,1695CA,GUT930,Distributor,1,1649.3,1649,,,,,
SO - 019940,25-Jan-21,2714CA,NXH382,Wholesale,1745,49.79846,86898,,,,,
SO - 019941,25-Jan-21,3512AA,AXW291,Export,7327,0.10295,754,,,,,
SO - 019942,25-Jan-21,2501CA,FLR025,Wholesale,500,35.12175,17561,,,,,
SO - 019943,25-Jan-21,2564BA,GUT930,Export,42,309.205,12987,,,,,
SO - 019944,25-Jan-21,2923CA,GUT930,Wholesale,1,20.18857,20,,,,,
SO - 019945,25-Jan-21,2342CA,NXH382,Wholesale,63,2.77685,175,,,,,
SO - 019946,25-Jan-21,1484BA,AXW291,Distributor,1,0.2,0,,,,,
SO - 019947,25-Jan-21,1486CA,AXW291,Distributor,3,190.72,572,,,,,
SO - 019948,25-Jan-21,3407CA,AXW291,Wholesale,5,1017.592,5088,,,,,
SO - 019949,25-Jan-21,1193BA,AXW291,Wholesale,90,815,73350,,,,,
SO - 019950,25-Jan-21,3404CA,AXW291,Distributor,10,396.54,3965,,,,,
SO - 019951,25-Jan-21,2555CA,AXW291,Export,5,682.5,3413,,,,,
SO - 019952,25-Jan-21,2227AA,NXH382,Distributor,2,751.635,1503,,,,,
SO - 019953,25-Jan-21,1945AA,GUT930,Export,1,965,965,,,,,
SO - 019954,25-Jan-21,1126CA,AXW291,Distributor,4963,32.8,162786,,,,,
SO - 019955,25-Jan-21,3079BA,GUT930,Wholesale,18,134.5,2421,,,,,
SO - 019956,25-Jan-21,2277AA,NXH382,Wholesale,50,6.37172,319,,,,,
SO - 019957,25-Jan-21,3025CA,NXH382,Wholesale,1,1092.5,1093,,,,,
SO - 019958,25-Jan-21,1499AA,AXW291,Export,250,14.22359,3556,,,,,
SO - 019959,25-Jan-21,2291AA,AXW291,Wholesale,422,18.75596,7915,,,,,
SO - 019960,25-Jan-21,3025CA,AXW291,Wholesale,1,1092.5,1093,,,,,
SO - 019961,25-Jan-21,2646AA,AXW291,Wholesale,994,908.33214,902882,,,,,
SO - 019962,25-Jan-21,1009AA,AXW291,Wholesale,45,28.76326,1294,,,,,
SO - 019963,25-Jan-21,2277AA,GUT930,Wholesale,92,6.37172,586,,,,,
SO - 019964,25-Jan-21,1497CA,NXH382,Wholesale,57,16.71828,953,,,,,
SO - 019965,25-Jan-21,2025AA,NXH382,Wholesale,12,442.805,5314,,,,,
SO - 019966,25-Jan-21,1511CA,FLR025,Wholesale,20,6.787,136,,,,,
SO - 019967,25-Jan-21,2054AA,FLR025,Wholesale,5,751.83,3759,,,,,
SO - 019968,25-Jan-21,3365CA,FLR025,Wholesale,1,13.3248,13,,,,,
SO - 019969,25-Jan-21,3423CA,AXW291,Wholesale,1,29.555,30,,,,,
SO - 019970,25-Jan-21,1967BA,GUT930,Wholesale,300,178.65,53595,,,,,
SO - 019971,25-Jan-21,2277AA,FLR025,Wholesale,23,6.37172,147,,,,,
SO - 019972,26-Jan-21,1161AA,AXW291,Wholesale,45,136.5925,6147,,,,,
SO - 019973,26-Jan-21,2317CA,GUT930,Wholesale,494,37.26672,18410,,,,,
SO - 019974,26-Jan-21,2212CA,AXW291,Wholesale,11,884.36,9728,,,,,
SO - 019975,26-Jan-21,2212AA,GUT930,Wholesale,4,747.405,2990,,,,,
SO - 019976,26-Jan-21,1385CA,GUT930,Distributor,7,1781.5475,12471,,,,,
SO - 019977,26-Jan-21,2096BA,NXH382,Wholesale,5,1524.57667,7623,,,,,
SO - 019978,26-Jan-21,1486CA,AXW291,Wholesale,3,190.72,572,,,,,
SO - 019979,26-Jan-21,2752AA,AXW291,Wholesale,33,76.502,2525,,,,,
SO - 019980,26-Jan-21,2988AA,AXW291,Wholesale,1,9261,9261,,,,,
SO - 019981,26-Jan-21,2331CA,NXH382,Export,92,210.12419,19331,,,,,
SO - 019982,26-Jan-21,2044CA,NXH382,Wholesale,5,740.82,3704,,,,,
SO - 019983,26-Jan-21,3053AA,NXH382,Wholesale,22,40.87148,899,,,,,
SO - 019984,26-Jan-21,3616CA,AXW291,Distributor,16,433.1,6930,,,,,
SO - 019985,26-Jan-21,1967BA,FLR025,Export,10,178.65,1787,,,,,
SO - 019986,26-Jan-21,3556AA,AXW291,Distributor,10,1077.43125,10774,,,,,
SO - 019987,26-Jan-21,2988AA,GUT930,Distributor,4,9261,37044,,,,,
SO - 019988,26-Jan-21,3075AA,NXH382,Wholesale,7,60.38,423,,,,,
SO - 019989,26-Jan-21,2953BA,FLR025,Wholesale,300,47.90925,14373,,,,,
SO - 019990,26-Jan-21,1130AA,AXW291,Wholesale,60,17.26609,1036,,,,,
SO - 019991,26-Jan-21,2729AA,AXW291,Wholesale,40,76.518,3061,,,,,
SO - 019992,26-Jan-21,2785BA,AXW291,Distributor,32,34.48244,1103,,,,,
SO - 019993,26-Jan-21,3502BA,GUT930,Wholesale,2,1234.335,2469,,,,,
SO - 019994,26-Jan-21,3120BA,FLR025,Wholesale,5,1534.88,7674,,,,,
SO - 019995,26-Jan-21,2317CA,AXW291,Distributor,220,37.26672,8199,,,,,
SO - 019996,26-Jan-21,2513CA,NXH382,Wholesale,2,4805.03,9610,,,,,
SO - 019997,26-Jan-21,2326CA,AXW291,Distributor,31,63.5592,1970,,,,,
SO - 019998,26-Jan-21,1630BA,GUT930,Export,7,442.803,3100,,,,,
SO - 019999,26-Jan-21,1511CA,AXW291,Export,12,6.787,81,,,,,
SO - 020000,26-Jan-21,2054CA,GUT930,Distributor,5,904,4520,,,,,
SO - 020001,26-Jan-21,3462AA,AXW291,Wholesale,100,4.1,410,,,,,
SO - 020002,26-Jan-21,1964BA,AXW291,Wholesale,155,99.12769,15365,,,,,
SO - 020003,26-Jan-21,1695CA,NXH382,Wholesale,1,1649.3,1649,,,,,
SO - 020004,26-Jan-21,1956CA,AXW291,Distributor,1,1250,1250,,,,,
SO - 020005,26-Jan-21,3512AA,GUT930,Wholesale,1050,0.10295,108,,,,,
SO - 020006,26-Jan-21,3610AA,GUT930,Wholesale,6,156.16,937,,,,,
SO - 020007,26-Jan-21,3448CA,AXW291,Wholesale,80,6.5255,522,,,,,
SO - 020008,26-Jan-21,2054CA,AXW291,Wholesale,234,904,211536,,,,,
SO - 020009,26-Jan-21,1009AA,AXW291,Wholesale,128,28.76326,3682,,,,,
SO - 020010,26-Jan-21,2025AA,AXW291,Wholesale,6,442.805,2657,,,,,
SO - 020011,26-Jan-21,2229AA,AXW291,Distributor,6,1054.24333,6325,,,,,
SO - 020012,26-Jan-21,2025AA,GUT930,Distributor,6,442.805,2657,,,,,
SO - 020013,26-Jan-21,2471CA,GUT930,Distributor,48500,4.77698,231684,,,,,
SO - 020014,26-Jan-21,3132BA,NXH382,Wholesale,1,190,190,,,,,
SO - 020015,27-Jan-21,1403CA,AXW291,Distributor,1,2550,2550,,,,,
SO - 020016,27-Jan-21,1970CA,AXW291,Distributor,50,244.928,12246,,,,,
SO - 020017,27-Jan-21,3177CA,GUT930,Wholesale,135,69.45642,9377,,,,,
SO - 020018,27-Jan-21,3533CA,NXH382,Export,500,0.64377,322,,,,,
SO - 020019,27-Jan-21,2291AA,GUT930,Wholesale,16,18.75596,300,,,,,
SO - 020020,27-Jan-21,2227AA,NXH382,Wholesale,4,751.635,3007,,,,,
SO - 020021,27-Jan-21,1445BA,AXW291,Export,2,1291.865,2584,,,,,
SO - 020022,27-Jan-21,2013AA,FLR025,Export,110,143.8402,15822,,,,,
SO - 020023,27-Jan-21,3125AA,GUT930,Wholesale,3,119.136,357,,,,,
SO - 020024,27-Jan-21,2315BA,AXW291,Wholesale,39,14.9222,582,,,,,
SO - 020025,27-Jan-21,2212CA,GUT930,Export,4,884.36,3537,,,,,
SO - 020026,27-Jan-21,1499AA,AXW291,Export,30,14.22359,427,,,,,
SO - 020027,27-Jan-21,2170BA,AXW291,Distributor,1,305.19,305,,,,,
SO - 020028,27-Jan-21,3250CA,FLR025,Wholesale,650,34.75342,22590,,,,,
SO - 020029,27-Jan-21,3079BA,NXH382,Export,444,134.5,59718,,,,,
SO - 020030,27-Jan-21,1486CA,NXH382,Distributor,5,190.72,954,,,,,
SO - 020031,27-Jan-21,1695CA,AXW291,Wholesale,4,1649.3,6597,,,,,
SO - 020032,27-Jan-21,3423CA,AXW291,Wholesale,1,29.555,30,,,,,
SO - 020033,27-Jan-21,2025AA,FLR025,Distributor,5,442.805,2214,,,,,
SO - 020034,27-Jan-21,2337CA,AXW291,Wholesale,252,1.72706,435,,,,,
SO - 020035,27-Jan-21,2054AA,GUT930,Wholesale,5,751.83,3759,,,,,
SO - 020036,27-Jan-21,2227AA,AXW291,Wholesale,200,751.635,150327,,,,,
SO - 020037,27-Jan-21,1077CA,NXH382,Wholesale,7130,22.9777,163831,,,,,
SO - 020038,27-Jan-21,3399AA,GUT930,Distributor,5,194.753,974,,,,,
SO - 020039,27-Jan-21,3193AA,GUT930,Distributor,5,1425,7125,,,,,
SO - 020040,27-Jan-21,3365CA,GUT930,Wholesale,2,13.3248,27,,,,,
SO - 020041,27-Jan-21,3177CA,FLR025,Distributor,56.25,69.45642,3907,,,,,
SO - 020042,27-Jan-21,2501CA,GUT930,Distributor,55,35.12175,1932,,,,,
SO - 020043,27-Jan-21,2236CA,AXW291,Wholesale,6,1617.335,9704,,,,,
SO - 020044,27-Jan-21,1907AA,AXW291,Wholesale,1,6617.42,6617,,,,,
SO - 020045,27-Jan-21,2200CA,GUT930,Distributor,4,448,1792,,,,,
SO - 020046,27-Jan-21,2096BA,AXW291,Distributor,11,1524.57667,16770,,,,,
SO - 020047,27-Jan-21,2672BA,NXH382,Wholesale,134,11375,1524250,,,,,
SO - 020048,27-Jan-21,3570CA,AXW291,Wholesale,4,1160,4640,,,,,
SO - 020049,27-Jan-21,2277AA,AXW291,Wholesale,76,6.37172,484,,,,,
SO - 020050,27-Jan-21,1964BA,AXW291,Distributor,12.5,99.12769,1239,,,,,
SO - 020051,27-Jan-21,3399AA,AXW291,Wholesale,4,194.753,779,,,,,
SO - 020052,27-Jan-21,2953BA,FLR025,Distributor,60,47.90925,2875,,,,,
SO - 020053,27-Jan-21,1486CA,AXW291,Wholesale,3,190.72,572,,,,,
SO - 020054,27-Jan-21,2227AA,GUT930,Export,3,751.635,2255,,,,,
SO - 020055,27-Jan-21,1624AA,NXH382,Wholesale,10,722.101,7221,,,,,
SO - 020056,27-Jan-21,2662CA,GUT930,Export,6,2015.43638,12093,,,,,
SO - 020057,27-Jan-21,1499CA,GUT930,Wholesale,1,6600,6600,,,,,
SO - 020058,28-Jan-21,1499AA,NXH382,Wholesale,10,14.22359,142,,,,,
SO - 020059,28-Jan-21,3512AA,NXH382,Wholesale,950,0.10295,98,,,,,
SO - 020060,28-Jan-21,3143CA,AXW291,Wholesale,20,47.764,955,,,,,
SO - 020061,28-Jan-21,3462AA,NXH382,Wholesale,50,4.1,205,,,,,
SO - 020062,28-Jan-21,3177CA,FLR025,Wholesale,67.5,69.45642,4688,,,,,
SO - 020063,28-Jan-21,1385CA,GUT930,Wholesale,7,1781.5475,12471,,,,,
SO - 020064,28-Jan-21,2060AA,FLR025,Wholesale,6,1101.15,6607,,,,,
SO - 020065,28-Jan-21,2336BA,AXW291,Wholesale,72,7.92068,570,,,,,
SO - 020066,28-Jan-21,2200CA,AXW291,Export,1,448,448,,,,,
SO - 020067,28-Jan-21,2291AA,GUT930,Wholesale,525,18.75596,9847,,,,,
SO - 020068,28-Jan-21,3413AA,NXH382,Wholesale,10,35.3004,353,,,,,
SO - 020069,28-Jan-21,1479CA,AXW291,Distributor,20,385.5625,7711,,,,,
SO - 020070,28-Jan-21,2173CA,GUT930,Export,11,444.94,4894,,,,,
SO - 020071,28-Jan-21,3079BA,AXW291,Wholesale,54,134.5,7263,,,,,
SO - 020072,28-Jan-21,1317CA,GUT930,Wholesale,1,4908.7,4909,,,,,
SO - 020073,28-Jan-21,2331CA,AXW291,Distributor,1556,210.12419,326953,,,,,
SO - 020074,28-Jan-21,2646AA,AXW291,Wholesale,17,908.33214,15442,,,,,
SO - 020075,28-Jan-21,2342CA,AXW291,Wholesale,275,2.77685,764,,,,,
SO - 020076,28-Jan-21,3590BA,AXW291,Distributor,20,115.085,2302,,,,,
SO - 020077,28-Jan-21,1499CA,AXW291,Wholesale,1,6600,6600,,,,,
SO - 020078,28-Jan-21,2265BA,AXW291,Wholesale,2,1691.46333,3383,,,,,
SO - 020079,28-Jan-21,1445BA,NXH382,Export,3,1291.865,3876,,,,,
SO - 020080,28-Jan-21,2803BA,NXH382,Export,338,42.48576,14360,,,,,
SO - 020081,28-Jan-21,2212CA,GUT930,Distributor,1,884.36,884,,,,,
SO - 020082,28-Jan-21,2229AA,GUT930,Export,3,1054.24333,3163,,,,,
SO - 020083,28-Jan-21,3423CA,NXH382,Export,2,29.555,59,,,,,
SO - 020084,28-Jan-21,1601AA,NXH382,Distributor,1,918.403,918,,,,,
SO - 020085,28-Jan-21,3027CA,NXH382,Distributor,1,1145.83,1146,,,,,
SO - 020086,28-Jan-21,2508BA,AXW291,Distributor,1,463.1,463,,,,,
SO - 020087,28-Jan-21,2265BA,NXH382,Wholesale,1,1691.46333,1691,,,,,
SO - 020088,28-Jan-21,1979AA,AXW291,Wholesale,40,278.638,11146,,,,,
SO - 020089,28-Jan-21,2331CA,AXW291,Distributor,525,210.12419,110315,,,,,
SO - 020090,28-Jan-21,1385CA,AXW291,Distributor,10,1781.5475,17815,,,,,
SO - 020091,28-Jan-21,3590BA,AXW291,Wholesale,12,115.085,1381,,,,,
SO - 020092,28-Jan-21,1486CA,NXH382,Wholesale,1,190.72,191,,,,,
SO - 020093,28-Jan-21,2953BA,AXW291,Wholesale,60,47.90925,2875,,,,,
SO - 020094,28-Jan-21,2840AA,AXW291,Distributor,613,8.61042,5278,,,,,
SO - 020095,28-Jan-21,1497CA,GUT930,Wholesale,150,16.71828,2508,,,,,
SO - 020096,28-Jan-21,2189CA,FLR025,Wholesale,6,299.805,1799,,,,,
SO - 020097,28-Jan-21,1161AA,GUT930,Distributor,70,136.5925,9561,,,,,
SO - 020098,28-Jan-21,2953BA,FLR025,Distributor,50,47.90925,2395,,,,,
SO - 020099,28-Jan-21,2501CA,GUT930,Wholesale,100,35.12175,3512,,,,,
SO - 020100,28-Jan-21,2970CA,NXH382,Distributor,1,512.205,512,,,,,
SO - 020101,29-Jan-21,1921AA,AXW291,Wholesale,1,50000,50000,,,,,
SO - 020102,29-Jan-21,3120BA,AXW291,Export,5,1534.88,7674,,,,,
SO - 020103,29-Jan-21,3512AA,GUT930,Wholesale,3061,0.10295,315,,,,,
SO - 020104,29-Jan-21,1163CA,AXW291,Export,53,94.66425,5017,,,,,
SO - 020105,29-Jan-21,2564BA,AXW291,Wholesale,166,309.205,51328,,,,,
SO - 020106,29-Jan-21,2173CA,GUT930,Export,4,444.94,1780,,,,,
SO - 020107,29-Jan-21,1445BA,AXW291,Wholesale,8,1291.865,10335,,,,,
SO - 020108,29-Jan-21,1499CA,AXW291,Wholesale,2,6600,13200,,,,,
SO - 020109,29-Jan-21,1695CA,GUT930,Wholesale,4,1649.3,6597,,,,,
SO - 020110,29-Jan-21,1967BA,NXH382,Wholesale,189,178.65,33765,,,,,
SO - 020111,29-Jan-21,3448CA,AXW291,Wholesale,30,6.5255,196,,,,,
SO - 020112,29-Jan-21,1330CA,AXW291,Wholesale,1,6000,6000,,,,,
SO - 020113,29-Jan-21,2471CA,AXW291,Distributor,48665,4.77698,232472,,,,,
SO - 020114,29-Jan-21,2200CA,AXW291,Distributor,1,448,448,,,,,
SO - 020115,29-Jan-21,3462AA,GUT930,Export,60,4.1,246,,,,,
SO - 020116,29-Jan-21,1379CA,AXW291,Distributor,8,490.18125,3921,,,,,
SO - 020117,29-Jan-21,3512AA,GUT930,Distributor,5000,0.10295,515,,,,,
SO - 020118,29-Jan-21,2923CA,AXW291,Wholesale,165.23,20.18857,3336,,,,,
SO - 020119,29-Jan-21,3407CA,AXW291,Distributor,4,1017.592,4070,,,,,
SO - 020120,29-Jan-21,1956AA,AXW291,Distributor,1,573.09,573,,,,,
SO - 020121,29-Jan-21,1367CA,FLR025,Wholesale,1,22000,22000,,,,,
SO - 020122,29-Jan-21,2267CA,AXW291,Distributor,13,1896.44,24654,,,,,
SO - 020123,29-Jan-21,1601AA,GUT930,Wholesale,1,918.403,918,,,,,
SO - 020124,29-Jan-21,3461CA,GUT930,Export,4,30.064,120,,,,,
SO - 020125,29-Jan-21,2291AA,NXH382,Distributor,50,18.75596,938,,,,,
SO - 020126,29-Jan-21,3075BA,FLR025,Wholesale,4,31,124,,,,,
SO - 020127,29-Jan-21,2935BA,AXW291,Wholesale,3,23.495,70,,,,,
SO - 020128,29-Jan-21,3084CA,FLR025,Export,1,2769.81,2770,,,,,
SO - 020129,29-Jan-21,2200CA,AXW291,Wholesale,4,448,1792,,,,,
SO - 020130,29-Jan-21,3378CA,AXW291,Distributor,300,1.5,450,,,,,
SO - 020131,29-Jan-21,2923CA,GUT930,Distributor,4,20.18857,81,,,,,
SO - 020132,29-Jan-21,2752AA,GUT930,Distributor,2,76.502,153,,,,,
SO - 020133,29-Jan-21,1967BA,AXW291,Export,2.5,178.65,447,,,,,
SO - 020134,29-Jan-21,2291AA,NXH382,Wholesale,378,18.75596,7090,,,,,
SO - 020135,29-Jan-21,2044CA,NXH382,Wholesale,5,740.82,3704,,,,,
SO - 020136,29-Jan-21,3404CA,NXH382,Wholesale,20,396.54,7931,,,,,
SO - 020137,29-Jan-21,1630BA,AXW291,Distributor,2,442.803,886,,,,,
SO - 020138,29-Jan-21,2173CA,AXW291,Wholesale,4,444.94,1780,,,,,
SO - 020139,29-Jan-21,3512AA,AXW291,Wholesale,2062,0.10295,212,,,,,
SO - 020140,29-Jan-21,3407CA,AXW291,Wholesale,20,1017.592,20352,,,,,
SO - 020141,29-Jan-21,2039CA,AXW291,Wholesale,2,449.75,900,,,,,
SO - 020142,29-Jan-21,3075AA,NXH382,Distributor,1,60.38,60,,,,,
SO - 020143,29-Jan-21,1971AA,AXW291,Export,595,321.9469,191558,,,,,
SO - 020144,30-Jan-21,1497CA,AXW291,Wholesale,362,16.71828,6052,,,,,
SO - 020145,30-Jan-21,3420AA,AXW291,Distributor,2,17.255,35,,,,,
SO - 020146,30-Jan-21,2265BA,NXH382,Export,5,1691.46333,8457,,,,,
SO - 020147,30-Jan-21,1193BA,FLR025,Distributor,68,815,55420,,,,,
SO - 020148,30-Jan-21,3358BA,AXW291,Distributor,2,1363.64,2727,,,,,
SO - 020149,30-Jan-21,3365CA,NXH382,Wholesale,10,13.3248,133,,,,,
SO - 020150,30-Jan-21,3494AA,NXH382,Wholesale,50,3.5,175,,,,,
SO - 020151,30-Jan-21,2935BA,FLR025,Wholesale,12,23.495,282,,,,,
SO - 020152,30-Jan-21,2956AA,GUT930,Wholesale,6,12.02259,72,,,,,
SO - 020153,30-Jan-21,2714CA,NXH382,Export,95,49.79846,4731,,,,,
SO - 020154,30-Jan-21,3079BA,AXW291,Distributor,12,134.5,1614,,,,,
SO - 020155,30-Jan-21,1624AA,GUT930,Wholesale,1,722.101,722,,,,,
SO - 020156,30-Jan-21,3616CA,GUT930,Wholesale,8,433.1,3465,,,,,
SO - 020157,30-Jan-21,2170BA,GUT930,Wholesale,2,305.19,610,,,,,
SO - 020158,30-Jan-21,3494AA,AXW291,Wholesale,50,3.5,175,,,,,
SO - 020159,30-Jan-21,1403CA,NXH382,Distributor,1,2550,2550,,,,,
SO - 020160,30-Jan-21,3551CA,AXW291,Distributor,200,7.06831,1414,,,,,
SO - 020161,30-Jan-21,1317CA,FLR025,Wholesale,4,4908.7,19635,,,,,
SO - 020162,30-Jan-21,2673BA,AXW291,Export,330,13,4290,,,,,
SO - 020163,30-Jan-21,3413AA,GUT930,Export,13,35.3004,459,,,,,
SO - 020164,30-Jan-21,3399AA,NXH382,Export,2,194.753,390,,,,,
SO - 020165,30-Jan-21,1486CA,AXW291,Distributor,4,190.72,763,,,,,
SO - 020166,30-Jan-21,1650AA,AXW291,Wholesale,40,284.87,11395,,,,,
SO - 020167,30-Jan-21,3399AA,AXW291,Wholesale,3,194.753,584,,,,,
SO - 020168,30-Jan-21,1234BA,AXW291,Wholesale,204,498,101592,,,,,
SO - 020169,30-Jan-21,3461CA,GUT930,Export,25,30.064,752,,,,,
SO - 020170,30-Jan-21,2621AA,AXW291,Export,168,61.78333,10380,,,,,
SO - 020171,30-Jan-21,1077CA,AXW291,Wholesale,3519,22.9777,80859,,,,,
SO - 020172,30-Jan-21,3075BA,AXW291,Wholesale,9,31,279,,,,,
SO - 020173,30-Jan-21,3551CA,FLR025,Distributor,200,7.06831,1414,,,,,
SO - 020174,30-Jan-21,1907AA,AXW291,Export,3,6617.42,19852,,,,,
SO - 020175,30-Jan-21,3494AA,NXH382,Wholesale,50,3.5,175,,,,,
SO - 020176,30-Jan-21,1161AA,AXW291,Distributor,132,136.5925,18030,,,,,
SO - 020177,30-Jan-21,1445BA,NXH382,Wholesale,4,1291.865,5167,,,,,
SO - 020178,30-Jan-21,2220BA,NXH382,Wholesale,121,752,90992,,,,,
SO - 020179,30-Jan-21,2212AA,NXH382,Wholesale,4,747.405,2990,,,,,
SO - 020180,30-Jan-21,1497CA,NXH382,Distributor,50,16.71828,836,,,,,
SO - 020181,30-Jan-21,2988AA,AXW291,Distributor,1,9261,9261,,,,,
SO - 020182,30-Jan-21,3079BA,FLR025,Wholesale,87,134.5,11702,,,,,
SO - 020183,30-Jan-21,2867AA,AXW291,Wholesale,67.1,297.635,19971,,,,,
SO - 020184,30-Jan-21,2337CA,NXH382,Distributor,25,1.72706,43,,,,,
SO - 020185,30-Jan-21,2646AA,GUT930,Distributor,6,908.33214,5450,,,,,
SO - 020186,30-Jan-21,3079BA,AXW291,Distributor,666,134.5,89577,,,,,
SO - 020187,31-Jan-21,2336BA,AXW291,Wholesale,133,7.92068,1053,,,,,
SO - 020188,31-Jan-21,1921AA,AXW291,Wholesale,1,50000,50000,,,,,
SO - 020189,31-Jan-21,1083AA,AXW291,Export,5000,29.02,145100,,,,,
SO - 020190,31-Jan-21,3160BA,AXW291,Wholesale,6,270.909,1625,,,,,
SO - 020191,31-Jan-21,2814BA,AXW291,Distributor,110,50.49535,5554,,,,,
SO - 020192,31-Jan-21,1945AA,AXW291,Export,1,965,965,,,,,
SO - 020193,31-Jan-21,2498CA,GUT930,Wholesale,1,117.17,117,,,,,
SO - 020194,31-Jan-21,1464AA,AXW291,Wholesale,5,842.57,4213,,,,,
SO - 020195,31-Jan-21,3250CA,NXH382,Distributor,150,34.75342,5213,,,,,
SO - 020196,31-Jan-21,1464AA,GUT930,Export,1,842.57,843,,,,,
SO - 020197,31-Jan-21,3138CA,AXW291,Wholesale,4,376.116,1504,,,,,
SO - 020198,31-Jan-21,1956CA,AXW291,Export,3,1250,3750,,,,,
SO - 020199,31-Jan-21,3177CA,NXH382,Export,56.25,69.45642,3907,,,,,
SO - 020200,31-Jan-21,2876CA,GUT930,Wholesale,1,427.425,427,,,,,
SO - 020201,31-Jan-21,2317CA,GUT930,Distributor,2690,37.26672,100247,,,,,
SO - 020202,31-Jan-21,1464AA,FLR025,Wholesale,1,842.57,843,,,,,
SO - 020203,31-Jan-21,3502BA,NXH382,Wholesale,12,1234.335,14812,,,,,
SO - 020204,31-Jan-21,1317CA,AXW291,Distributor,1,4908.7,4909,,,,,
SO - 020205,31-Jan-21,3079BA,GUT930,Distributor,12,134.5,1614,,,,,
SO - 020206,31-Jan-21,1484BA,NXH382,Distributor,1,0.2,0,,,,,
SO - 020207,31-Jan-21,1945AA,FLR025,Distributor,1,965,965,,,,,
SO - 020208,31-Jan-21,2227AA,NXH382,Distributor,3,751.635,2255,,,,,
SO - 020209,31-Jan-21,2564BA,AXW291,Distributor,62,309.205,19171,,,,,
SO - 020210,31-Jan-21,1993AA,AXW291,Wholesale,132.5,83.75125,11097,,,,,
SO - 020211,31-Jan-21,1366BA,AXW291,Distributor,1,16900,16900,,,,,
SO - 020212,31-Jan-21,1499AA,NXH382,Distributor,30,14.22359,427,,,,,
SO - 020213,31-Jan-21,1161AA,AXW291,Wholesale,11,136.5925,1503,,,,,
SO - 020214,31-Jan-21,1266CA,GUT930,Wholesale,1,118900,118900,,,,,
SO - 020215,31-Jan-21,3502BA,AXW291,Wholesale,2,1234.335,2469,,,,,
SO - 020216,31-Jan-21,3399AA,AXW291,Wholesale,10,194.753,1948,,,,,
SO - 020217,31-Jan-21,3345AA,FLR025,Distributor,4,31.06467,124,,,,,
SO - 020218,31-Jan-21,2060AA,GUT930,Wholesale,2,1101.15,2202,,,,,
SO - 020219,31-Jan-21,3448CA,GUT930,Wholesale,30,6.5255,196,,,,,
SO - 020220,31-Jan-21,3084CA,AXW291,Distributor,1,2769.81,2770,,,,,
SO - 020221,31-Jan-21,1970CA,AXW291,Distributor,367,244.928,89889,,,,,
SO - 020222,31-Jan-21,3079BA,GUT930,Wholesale,14,134.5,1883,,,,,
SO - 020223,31-Jan-21,2396CA,FLR025,Wholesale,5930,0.7646,4534,,,,,
SO - 020224,31-Jan-21,3079BA,GUT930,Distributor,18,134.5,2421,,,,,
SO - 020225,31-Jan-21,2021CA,FLR025,Wholesale,11,295.27467,3248,,,,,
SO - 020226,31-Jan-21,3407CA,GUT930,Wholesale,5,1017.592,5088,,,,,
SO - 020227,31-Jan-21,3619CA,GUT930,Wholesale,26,0.7455,19,,,,,
SO - 020228,31-Jan-21,3358BA,NXH382,Distributor,1,1363.64,1364,,,,,
SO - 020229,31-Jan-21,1497CA,AXW291,Wholesale,13,16.71828,217,,,,,
SO - 020230,01-Feb-21,2840AA,AXW291,Wholesale,8100,8.61042,69744,,,,,
SO - 020231,01-Feb-21,2766AA,AXW291,Wholesale,1717,363.83238,624700,,,,,
